ID;Name;Time;Family;Rope;Level 1;Level 2;Level 3;Level 4;Latitud ;Longitud
1;Fasnia;1;1;60;13;35;12;4;28,19053;-16,49776
2;La Galería;15;0;80;1;10;19;7;28,23640;-16,43890
